"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arhgef6",5.63939100604246e-77,-1.07646732260059,0.049,0.17,1.82067738630081e-72
"Sertad2",7.13468111763266e-77,0.494766653987769,0.218,0.072,2.3034317988277e-72
"Phf14",1.2032615580914e-76,-0.730783777123891,0.469,0.539,3.88472994029808e-72
"Gm49708",1.2923960361572e-76,0.599981048988609,0.107,0.015,4.17250060273352e-72
"Acaca",1.43874381410997e-76,0.405166415694224,0.421,0.204,4.64498440385404e-72
"Man1c1",1.59742050891253e-76,-1.04153509876127,0.054,0.177,5.15727211302409e-72
"Ogt",1.619881305843e-76,0.383420691372453,0.667,0.379,5.22978679591412e-72
"Kif21a",2.68594234600323e-76,0.503076050033689,0.351,0.16,8.67156486407142e-72
"Ctif",4.27112751058294e-76,0.497148426280555,0.275,0.11,1.3789335167917e-71
"Ldhb",7.20175448860329e-76,0.431120752543421,0.321,0.137,2.32508643664557e-71
"Pde10a",1.16386088630917e-75,0.475686019335553,0.363,0.166,3.75752487144917e-71
"Dpyd",1.17858091301082e-75,0.568196272754221,0.187,0.057,3.80504847765544e-71
"Kcnk2",1.38487827687302e-75,0.565740909073354,0.116,0.019,4.47107951688453e-71
"Gm40841",2.01503922437856e-75,-1.03468573755115,0.052,0.174,6.50555413590619e-71
"Rab3il1",3.19772214937659e-75,-0.942515171649818,0.013,0.107,1.03238459592623e-70
"Prag1",3.26195986303717e-75,-1.04900265428964,0.037,0.149,1.05312374178155e-70
"Gm26917",3.71980558910691e-75,0.499818809149295,0.343,0.158,1.20093923444317e-70
"Ranbp17",5.21527844797331e-75,0.564464125174596,0.137,0.03,1.68375264692818e-70
"Baz1a",5.45902148864584e-75,-1.02963400431391,0.046,0.165,1.76244508760931e-70
"Tjp2",8.94585039686679e-75,0.540705511700564,0.205,0.068,2.88816780062844e-70
"Idh1",1.35104948639217e-74,0.537051915334777,0.155,0.039,4.36186326681713e-70
"Camk1",1.71512370794833e-74,-1.03704046271937,0.043,0.159,5.53727689111117e-70
"Ighm",2.14294960776175e-74,-0.919819070742804,0.012,0.105,6.9185128086588e-70
"Pknox2",3.17810836014992e-74,0.542088339214933,0.164,0.044,1.0260522840744e-69
"Pld2",5.87812101264268e-74,0.542691500957401,0.157,0.041,1.89775136893169e-69
"Rel",6.10019403867516e-74,-0.957145128649971,0.021,0.123,1.96944764538628e-69
"Fgd3",6.402240475383e-74,-0.89563525068515,0.015,0.11,2.0669633374774e-69
"Mtch2",6.90679827352744e-74,0.501223239602739,0.222,0.078,2.22985982260833e-69
"Cpt1a",7.74325465640237e-74,0.514618450890032,0.118,0.021,2.4999097658195e-69
"Rptor",1.09782145718898e-73,-0.981854693380088,0.23,0.361,3.54431657453461e-69
"Sod1",1.3239831446383e-73,0.547558832261519,0.143,0.034,4.27447958246475e-69
"Pnisr",1.44258182532054e-73,0.381464939538187,0.872,0.587,4.65737542304735e-69
"Araf",1.61424664034657e-73,0.504052330228489,0.214,0.074,5.2115952783589e-69
"Mocs2",2.00571151159535e-73,0.548119411524197,0.133,0.029,6.47543961518558e-69
"6430590A07Rik",4.76820200799139e-73,0.504786144054016,0.164,0.045,1.53941401828002e-68
"Ppp2r3a",5.16617208008417e-73,0.431232839533643,0.436,0.217,1.66789865605517e-68
"Vcan",5.80290829006596e-73,0.574877212935577,0.119,0.021,1.8734689414478e-68
"Ppp1r21",6.79647396525036e-73,-1.03748357141439,0.123,0.259,2.19424161968108e-68
"Pnkd",7.17554671153274e-73,0.534513242338295,0.159,0.042,2.31662525581835e-68
"Bckdhb",8.37360729736131e-73,0.390444518717689,0.318,0.138,2.7034191159531e-68
"Wdr44",1.20367738599773e-72,-1.09510160142239,0.083,0.212,3.88607244069367e-68
"Ak3",1.34303259373766e-72,0.558770586410999,0.158,0.043,4.33598072888203e-68
"Gm37573",1.75881096739116e-72,0.543681892652585,0.119,0.022,5.67832120822237e-68
"Prdx1",2.13152657412949e-72,0.530755771823807,0.159,0.043,6.88163354457707e-68
"4931406C07Rik",2.68795132067733e-72,0.501387320418814,0.159,0.043,8.67805083880676e-68
"Zcchc24",2.86232738741065e-72,0.521328348877048,0.167,0.048,9.24102397025529e-68
"Pdgfb",3.30902152658536e-72,-0.899359575756734,0.01,0.1,1.06831759985808e-67
"Ppfia4",4.80889134082891e-72,-0.943383135492169,0.018,0.115,1.55255056938661e-67
"Afap1l1",6.70888983927246e-72,-0.969808727734556,0.029,0.134,2.16596508460911e-67
"Tmem29",7.15527185243022e-72,0.50769488031668,0.134,0.03,2.3100795175571e-67
"Kat6b",8.4297306353765e-72,0.412276217763143,0.343,0.156,2.7215385356313e-67
"Dennd1a",1.46366820053175e-71,0.375481928430662,0.736,0.44,4.72545278541674e-67
"Fam222b",6.41189195790094e-71,0.434587933473438,0.246,0.095,2.07007931860832e-66
"Ttc19",7.1673820506001e-71,0.479533077216619,0.193,0.062,2.31398929503624e-66
"Rcn2",1.95658969706252e-70,0.534789611173746,0.163,0.047,6.31684983696635e-66
"Plxdc1",2.60012719533386e-70,-0.924863425383417,0.022,0.12,8.39451065013536e-66
"2610316D01Rik",2.61163404742768e-70,0.603456194781375,0.124,0.026,8.43166052212028e-66
"Vav2",5.06090994445918e-70,-1.01203493825211,0.037,0.144,1.63391477556865e-65
"Arpc1b",5.77697774448015e-70,-0.973336876892608,0.019,0.114,1.86509726480542e-65
"Trim37",6.86931865063542e-70,0.472395431844473,0.176,0.053,2.21775952635765e-65
"Tspoap1",1.26191411153537e-69,0.544566454165332,0.145,0.036,4.07408970909193e-65
"Tbc1d14",1.89359976011214e-69,-1.0168727951094,0.085,0.212,6.11348682552203e-65
"Cables1",2.08624001138368e-69,0.383734360615093,0.418,0.208,6.7354258767522e-65
"Ap3m1",3.45326462877575e-69,0.493588917373179,0.201,0.07,1.11488648540025e-64
"Fam13a",3.64876551649374e-69,0.505164880930875,0.17,0.051,1.178003947e-64
"Pcdhga12",6.80390064512062e-69,0.503078453332177,0.162,0.047,2.19663932327719e-64
"Rabgap1l",7.59534739169359e-69,0.367035984927635,0.493,0.262,2.45215790540828e-64
"Iqsec1",8.65708268975204e-69,0.428634734475842,0.313,0.14,2.79493914638645e-64
"Parp8",1.30438953775772e-68,-0.947924624278975,0.239,0.364,4.21122162265079e-64
"Bmp2k",1.52538430334455e-68,-0.856872940501598,0.343,0.44,4.92470322334789e-64
"Mrtfb",1.93548953739006e-68,0.403438087117974,0.324,0.146,6.2487279714638e-64
"Bbs2",3.51864648520081e-68,0.547201599079022,0.137,0.034,1.13599501774708e-63
"Mxi1",3.55252562208749e-68,0.410802978244152,0.283,0.121,1.14693289709095e-63
"Pten",4.08676849968215e-68,-0.853797627071013,0.336,0.443,1.31941321012238e-63
"Efna5",5.34657526724816e-68,0.411089241831097,0.332,0.151,1.72614182503107e-63
"Hgf",6.79682154278889e-68,0.484652026478913,0.107,0.018,2.19435383508939e-63
"Lrrc4b",9.45107162795044e-68,0.527806150153247,0.126,0.028,3.0512784750838e-63
"Gm13483",1.10005880261491e-67,0.529545732530019,0.133,0.032,3.55153984424223e-63
"Gm14410",1.50648546002115e-67,0.465218074328059,0.21,0.076,4.86368830767829e-63
"Il13ra1",1.88374730428369e-67,-0.876683601959926,0.013,0.1,6.0816781718799e-63
"Ank",2.57797722995926e-67,0.376118390518861,0.362,0.174,8.32299948692348e-63
"Sestd1",2.66559674968506e-67,0.502360101286612,0.127,0.029,8.60587910635822e-63
"Nrf1",3.87672942267964e-67,0.364864029205276,0.367,0.175,1.25160209411212e-62
"Lrrc49",4.1913635548099e-67,0.484604608215023,0.144,0.038,1.35318172367038e-62
"Trpm2",4.89581723443961e-67,-0.888654010241862,0.018,0.109,1.58061459413883e-62
"Ctso",6.02771616673742e-67,0.465415366011054,0.211,0.077,1.94604816443118e-62
"Tcf25",6.69682399524135e-67,0.354586792641327,0.5,0.268,2.16206962686367e-62
"Srpk2",7.99105184998325e-67,0.341171832599581,0.482,0.255,2.57991108976709e-62
"Npepps",9.20940659539818e-67,0.397367366012354,0.413,0.214,2.9732569193243e-62
"Zdhhc21",1.24846191092593e-66,0.439209413879548,0.205,0.073,4.03065927942436e-62
"Rassf2",1.52441668481089e-66,-1.00470452053082,0.147,0.276,4.92157926691195e-62
"Amotl1",1.81474046950199e-66,0.489866665526805,0.113,0.022,5.85888960578719e-62
"Rap1b",2.12497768914137e-66,-1.00566321133283,0.086,0.209,6.86049046939293e-62
"Tesk2",2.33522207749319e-66,0.504914506609014,0.192,0.066,7.53926447718677e-62
"Trim30d",3.90715341888817e-66,-0.926631350698105,0.019,0.109,1.26142448128805e-61
