"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nadk2",9.68598010906355e-108,1.51883459297967,0.194,0.042,3.12711867821117e-103
"Gm44257",1.17273406233229e-107,3.66388461362938,0.108,0.004,3.78617192023979e-103
"Gm40645",1.34331512780652e-107,-4.77185210838115,0.009,0.132,4.33689289012336e-103
"Gm4070",1.59131221762075e-107,-5.35702610135776,0.007,0.128,5.1375514945886e-103
"Wdr17",1.82814931741571e-107,1.09093357743634,0.242,0.067,5.90218007127661e-103
"Mknk1",2.00295845199576e-107,-2.71855384525998,0.082,0.245,6.46655136226831e-103
"Glrb",3.19420438994728e-107,1.26208323670778,0.262,0.082,1.03124888729448e-102
"Sat1",3.3311835348303e-107,0.647812927048674,0.563,0.287,1.07547260421996e-102
"Fam135a",3.38487782721955e-107,0.892669047086343,0.338,0.126,1.09280780651783e-102
"St3gal5",6.75069290306992e-107,-2.92771538339277,0.046,0.197,2.17946120375612e-102
"Adcy7",9.85772248800239e-107,-4.7687518923671,0.01,0.133,3.18256570525157e-102
"Col4a5",9.93216344499857e-107,3.83933158670456,0.112,0.005,3.20659896821779e-102
"Hrh1",1.13344045875127e-106,3.25073886727217,0.114,0.006,3.65931252107848e-102
"Coro2b",1.20609419983881e-106,1.91991963570766,0.157,0.024,3.89387512417959e-102
"Mid2",1.87010119417822e-106,2.94597801884367,0.127,0.011,6.03762170540439e-102
"Hdhd5",2.19600097244734e-106,1.78761704074342,0.173,0.032,7.08978913954625e-102
"Dennd1c",3.14252177508075e-106,-4.64565327084514,0.009,0.131,1.01456315508482e-101
"Cpne2",4.85486865938772e-106,3.87058928152887,0.109,0.004,1.56739434668333e-101
"Abcg2",5.82990617283839e-106,-3.77431886346176,0.018,0.15,1.88218520790087e-101
"Prr5",7.29615113384106e-106,3.55321273140212,0.113,0.006,2.35556239356059e-101
"Gm13166",7.92535918845061e-106,-3.97821680712705,0.019,0.15,2.55870221399128e-101
"Prcp",1.25203184194973e-105,-3.35389759481274,0.032,0.173,4.04218480173471e-101
"Tspan5",2.18636865171175e-105,0.690645539095751,0.441,0.194,7.05869119205139e-101
"Als2cl",2.23459334268445e-105,3.86780908880213,0.11,0.005,7.21438460685674e-101
"Slc24a3",3.33015966140594e-105,-1.6916500569173,0.299,0.453,1.07514204668491e-100
"Slc25a45",3.76603809508726e-105,-4.22242229521458,0.014,0.139,1.21586539899892e-100
"Crtc3",5.12828938170398e-105,1.03586773437043,0.267,0.083,1.65566822688313e-100
"Mpp6",7.34655258473768e-105,0.798113527417128,0.361,0.141,2.37183450198256e-100
"Trerf1",8.54392660685199e-105,1.17634254649608,0.234,0.064,2.75840670502217e-100
"Nphp3",2.05546444872565e-104,2.14164456007842,0.16,0.027,6.63606697271075e-100
"Amy1",2.50782287700524e-104,1.10875829970635,0.278,0.092,8.09650615841142e-100
"Nat8f1",3.11327628800436e-104,2.88621182213684,0.121,0.01,1.00512124958221e-99
"Snph",3.17337310444543e-104,1.54874902037407,0.184,0.038,1.02452350677021e-99
"Fut8",7.52598181575546e-104,0.719204735102928,0.423,0.185,2.42976322921665e-99
"Gm49164",8.9125525464127e-104,3.91627410346687,0.107,0.004,2.87741758960934e-99
"9930111J21Rik2",1.00630909331423e-103,-5.05089505334738,0.007,0.123,3.24886890776498e-99
"Myrip",1.64237156634717e-103,1.67411990333616,0.171,0.032,5.30239660195184e-99
"Ankrd28",2.17044238341879e-103,0.745162893310043,0.388,0.16,7.00727323486757e-99
"Filip1l",3.19597384656776e-103,-4.38221565537258,0.014,0.139,1.0318201563644e-98
"Spon1",3.34992973522884e-103,1.91888696718276,0.146,0.021,1.08152481501863e-98
"Cd37",3.39424444548617e-103,-5.06017707122167,0.008,0.126,1.09583181922521e-98
"Nme7",3.67963321068375e-103,1.45111373622006,0.206,0.051,1.18796958206925e-98
"Dkk3",5.15522045805614e-103,1.63050659335616,0.175,0.034,1.66436292488343e-98
"Hspa4l",6.29470197489708e-103,1.64198302150016,0.185,0.04,2.03224453259552e-98
"Sgcd",8.94676910752484e-103,1.29097060359702,0.243,0.073,2.8884644063644e-98
"Disp3",2.05706592265653e-102,3.72236970637647,0.107,0.005,6.6412373312966e-98
"Nkain4",2.30181546991255e-102,2.79088135784751,0.119,0.009,7.43141124461267e-98
"Uvrag",2.43256893390854e-102,-2.04883215643525,0.169,0.338,7.85354880312372e-98
"Echdc2",3.02725876763574e-102,3.12832728188959,0.113,0.007,9.77350493131199e-98
"Parva",3.54670488479068e-102,3.20082105726252,0.114,0.007,1.14505367205467e-97
"Phf21b",3.80419126930362e-102,2.31833539418133,0.132,0.015,1.22818315129467e-97
"Chka",4.77300398835414e-102,0.66637278340334,0.399,0.169,1.54096433764013e-97
"Cbx5",7.96147918000932e-102,1.36641737524248,0.217,0.058,2.57036355326601e-97
"Slc36a1",1.667630277137e-101,-2.8581221582061,0.058,0.209,5.38394434973682e-97
"Dgki",1.98019225540404e-101,0.655737376840668,0.408,0.173,6.39305069657195e-97
"Elf4",2.71543932101374e-101,-4.31532365906287,0.014,0.135,8.76679584789288e-97
"Tbc1d19",2.73064109921279e-101,1.14011308765933,0.242,0.071,8.81587478880849e-97
"Rtp4",6.65579674162384e-101,1.92698872451029,0.15,0.023,2.14882397803326e-96
"Clasp1",7.95324369807622e-101,0.722546885606027,0.397,0.169,2.56770472792391e-96
"Atp5b",9.03189532750814e-101,1.19883253307254,0.256,0.081,2.915947406486e-96
"Ndufaf4",1.30444309272773e-100,1.08158955955453,0.261,0.084,4.21139452487149e-96
"Rock2",1.63272087300361e-100,-1.7168952145195,0.274,0.425,5.27123933849217e-96
"Acss1",2.46628109037926e-100,0.590994313941305,0.432,0.189,7.96238850028943e-96
